q_250,q_10,q_90,q_975,x_mean,index
-428.72353253998034,-399.9741880969422,-298.272067309213,-270.40064244057766,-349.30804912315375,13
-525.5836300112516,-510.6593283036317,-446.17097616885553,-420.10292700255144,-479.9005505424997,56
-533.1320154796824,-512.719886932795,-443.7785872603879,-424.0156610138097,-479.05816544593824,41
-394.1048417492796,-375.3759205338325,-293.9169943165025,-273.2080906043722,-334.44886896921275,95
-527.0698449006765,-512.8503333635251,-465.47847456968475,-451.71518397976104,-489.18016705194765,58
-407.4525859045499,-385.73368493387215,-302.5084815468486,-280.40823604852505,-343.9220383534911,91
-406.65735747159584,-383.8066690468551,-300.33354131852064,-277.88013132046774,-341.7805387592519,93
-360.4272460002539,-338.87130754115367,-251.66645750793387,-227.57455965327034,-295.050623722386,8
-531.7938132149302,-514.9746288247645,-447.6018706294557,-422.89275102706245,-482.2880233376434,74
-534.286392140053,-518.0428294894672,-465.22116797018276,-450.39489629668446,-491.1330137304287,68
-394.1048417492805,-375.3759205338342,-293.9169943165022,-273.2080906043723,-334.448868969213,96
-497.95195730809655,-475.67623342175307,-394.72731882495407,-372.3632527675219,-435.0016041546325,81
-351.7491636717316,-326.2276637141668,-225.94616370597268,-195.98610576235126,-276.85017473657234,3
-537.2299945765986,-519.6817159198051,-466.3273367609265,-451.52256306853894,-492.44788672901245,66
-522.711410673666,-509.59313719017274,-463.6436867677041,-450.110476586044,-486.7434529112818,51
-537.2299945765986,-519.6817159198051,-466.3273367609265,-451.52256306853894,-492.44788672901245,67
-530.8044033307118,-514.8407937320636,-461.4639086163039,-439.80351491086606,-488.1191196411036,62
-522.711410673666,-509.59313719017274,-463.6436867677041,-450.110476586044,-486.7434529112818,50
-462.32798988676564,-436.59386614756625,-335.29259975175387,-308.3684519502594,-386.19638446354,16
-526.2125887071123,-510.50120402579955,-462.2452275918561,-447.40006211525474,-486.7097297708293,46
-395.009232710458,-373.10275001702615,-281.87566213944467,-254.63060601763374,-327.9617594966587,98
-522.5658908521675,-509.70542394411865,-463.3298505298587,-449.677024280322,-486.55240897445697,47
-498.4144979410494,-475.6762334217539,-392.8206793727585,-369.5262056727363,-434.0107964662925,79
-533.1320154796841,-512.7198869327938,-443.77858726038966,-424.01566101380956,-479.05816544593677,39
-514.6510892211302,-498.73117806500295,-436.2330159808455,-414.7549183105363,-468.89207520181054,26
-523.5600283318764,-510.261784776846,-464.1227875042315,-451.5127074616802,-487.41846706295587,55
-490.68022497366076,-472.2063700992936,-378.8484922634743,-353.94671401790896,-425.95882214651493,20
-475.3157853282556,-452.86629304919126,-350.2933178765016,-319.90065448821184,-402.6014031877584,87
-530.8044033307119,-514.8407937320661,-461.4639086163056,-439.80351491086975,-488.11911964110504,63
-388.39323620808045,-364.6362172008404,-271.604038589801,-242.5089412796002,-319.9865599300642,99
-417.32152334508174,-391.24952511856833,-305.31087560380405,-282.47159109595435,-347.9946906460189,90
-512.7100334054969,-498.8927565388578,-440.57188155412973,-422.49975200219365,-471.1385207151611,29
-513.2626380429691,-497.97941927545537,-432.705169782416,-410.2012242046736,-466.79303575534624,25
-526.2125887071143,-510.5012040257979,-462.24522759185515,-447.4000621152556,-486.7097297708286,45
-531.3496867609527,-512.6546194896274,-439.91564144647384,-413.6848159724026,-477.7598231159388,75
-518.1923758358192,-501.4792460742606,-437.6503496039667,-416.58973659792747,-471.2811761025912,34
-525.4810004856404,-510.24449344508594,-460.2760868326015,-445.4548055462392,-485.71360524710644,43
-401.7632965579313,-377.86162906897226,-287.05312621951765,-261.69895668787206,-332.72340786270274,97
-480.28753786857015,-456.53852977564895,-351.20864374924497,-319.2866782014846,-405.7679578802985,86
-469.1345619288725,-444.0638903050723,-342.4604356787534,-316.54620042096616,-393.2251578369055,17
-533.1800058365883,-511.90530411940796,-441.3961764062719,-420.9818147608846,-477.6443335772349,38
